event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
law_BTCUSDT_104960,BTCUSDT,2023,8,8.393080839193333e-05,0.01897912743873254,0.010309278350515464,1
law_BTCUSDT_105344,BTCUSDT,2023,8,-0.0004417302428461158,-0.004378964141372836,0.0,0
law_BTCUSDT_105472,BTCUSDT,2023,16,-0.0017937443374168066,-0.02720541378045413,-0.08247422680412371,0
law_BTCUSDT_105920,BTCUSDT,2023,8,5.519896291309172e-05,0.029596695130315636,0.010309278350515464,1
law_BTCUSDT_106176,BTCUSDT,2023,0,6.653100121135425e-05,-0.01644556664408198,0.0,0
law_BTCUSDT_106304,BTCUSDT,2023,8,0.00013815194629672694,0.007148539641410656,0.0,0
law_BTCUSDT_106432,BTCUSDT,2023,16,-0.0006466330914033586,-0.052776976990515465,-0.06185567010309278,0
law_BTCUSDT_106784,BTCUSDT,2023,8,-0.00031166292316175135,-0.0025430817655720736,0.0,0
law_BTCUSDT_106912,BTCUSDT,2023,16,-0.0005497805182399051,-0.07006920744257536,-0.07216494845360824,0
law_BTCUSDT_107424,BTCUSDT,2023,0,-0.00017467934880642175,-0.009454553498021868,-0.010309278350515464,-1
law_BTCUSDT_108064,BTCUSDT,2023,16,-0.0020721934864872914,-0.08727915774601232,-0.10309278350515463,-1
law_BTCUSDT_108192,BTCUSDT,2023,0,-0.0004950212583247318,-0.00836365770527588,0.0,0
law_BTCUSDT_108352,BTCUSDT,2023,16,-0.0016882782128459265,-0.07233965751413624,-0.10309278350515463,-1
law_BTCUSDT_108480,BTCUSDT,2023,0,0.0002908093263123805,0.02638193116941189,0.030927835051546393,0
law_BTCUSDT_108672,BTCUSDT,2023,0,-0.000786117411054372,-0.023976678055829814,-0.010309278350515464,-1
law_BTCUSDT_108800,BTCUSDT,2023,8,-0.0005896931906896309,-0.003590753467030614,0.0,0
law_BTCUSDT_108928,BTCUSDT,2023,16,-0.0009697433821447702,-0.0725604897850104,-0.08247422680412371,0
law_BTCUSDT_109056,BTCUSDT,2023,0,-0.0003879450777388412,-0.009659894020242605,-0.010309278350515464,-1
law_BTCUSDT_109184,BTCUSDT,2023,8,0.0006708048713062718,0.02955588417447411,0.061855670103092786,1
law_BTCUSDT_109440,BTCUSDT,2023,0,-0.000741199506057868,-0.022708625936952227,-0.010309278350515464,-1
law_BTCUSDT_109568,BTCUSDT,2023,8,-0.00014207932075914888,0.0018594462565124578,0.0,0
law_BTCUSDT_109728,BTCUSDT,2023,0,-0.00039369847813820963,-0.02111984413773278,-0.010309278350515464,-1
law_BTCUSDT_109856,BTCUSDT,2023,8,0.00016833571412273114,0.010928343277278329,0.010309278350515464,1
law_BTCUSDT_109984,BTCUSDT,2023,16,-0.0018398680672336925,-0.0937852818356276,-0.10309278350515463,-1
law_BTCUSDT_110112,BTCUSDT,2023,0,-0.0008701006621651088,-0.013817529748476096,-0.010309278350515464,-1
law_BTCUSDT_110240,BTCUSDT,2023,8,0.0006809102902979789,0.012662657211224431,0.010309278350515464,1
law_BTCUSDT_110368,BTCUSDT,2023,16,-0.0018414521019507303,-0.09231146398613785,-0.10309278350515463,-1
law_BTCUSDT_110496,BTCUSDT,2023,0,-0.0004725347882188382,-0.018818849511962665,-0.010309278350515464,-1
law_BTCUSDT_110624,BTCUSDT,2023,8,-0.0005335042421764319,-0.006063301913108209,0.0,0
law_BTCUSDT_110752,BTCUSDT,2023,16,-0.002409025319572396,-0.09575279825166448,-0.10309278350515463,-1
law_BTCUSDT_110880,BTCUSDT,2023,0,-0.0005380511112289563,-0.02108008184519681,0.0,0
law_BTCUSDT_111008,BTCUSDT,2023,8,8.570603319846531e-05,0.03165358737647955,0.010309278350515464,1
law_BTCUSDT_111200,BTCUSDT,2023,8,-0.0002440733854530044,-0.0039058526869737743,0.0,0
law_BTCUSDT_111328,BTCUSDT,2023,16,-0.0020105422168832034,-0.08678476961032146,-0.10309278350515463,-1
law_BTCUSDT_111456,BTCUSDT,2023,0,-0.0012536317669525896,-0.028044522038582473,-0.010309278350515464,-1
law_BTCUSDT_111584,BTCUSDT,2023,8,-0.00036615426432208466,0.001707575932576852,0.0,0
law_BTCUSDT_111712,BTCUSDT,2023,16,-0.0015006313681889673,-0.07884774700407846,-0.10309278350515463,-1
law_BTCUSDT_111840,BTCUSDT,2023,0,-0.0003799636617184247,-0.021230013113712136,-0.010309278350515464,-1
law_BTCUSDT_111968,BTCUSDT,2023,8,-0.0006130451833414449,-0.008856237064616754,0.0,0
law_BTCUSDT_112096,BTCUSDT,2023,16,-0.002557634062432525,-0.09856280338738195,-0.10309278350515463,-1
law_BTCUSDT_112224,BTCUSDT,2023,0,-0.0007421454990599028,-0.014601336151806723,-0.010309278350515464,-1
law_BTCUSDT_112352,BTCUSDT,2023,8,-0.000530238573414346,-0.0055411261736669215,0.0,0
law_BTCUSDT_112480,BTCUSDT,2023,16,-0.0013253242042970239,-0.05093205072765296,-0.08247422680412371,0
law_BTCUSDT_112800,BTCUSDT,2023,0,-0.0005723227485440769,-0.0227397212608,-0.010309278350515464,-1
law_BTCUSDT_112928,BTCUSDT,2023,8,-0.00020446230051120152,-0.0021207885585999703,0.010309278350515464,1
law_BTCUSDT_113056,BTCUSDT,2023,16,-0.0011104388659043682,-0.06551822298881015,-0.08247422680412371,0
