event_id,symbol,year,funding_sign,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
ferw_ETHUSDT_027424,ETHUSDT,2021,pos_funding,-0.000506122983950752,-0.014145124496132228,-0.020618556701030924,0
ferw_ETHUSDT_027521,ETHUSDT,2021,pos_funding,0.0005756427834071863,0.030270254443877487,0.04123711340206186,0
ferw_ETHUSDT_029184,ETHUSDT,2021,pos_funding,0.00012941954482024575,-0.08132021217516555,0.0,0
ferw_ETHUSDT_029312,ETHUSDT,2021,pos_funding,0.00032095889548732414,0.032940326784512565,0.030927835051546393,0
ferw_ETHUSDT_029409,ETHUSDT,2021,pos_funding,0.0014789866707663004,0.03885386664293236,0.061855670103092786,1
ferw_ETHUSDT_029664,ETHUSDT,2021,pos_funding,0.0008286454739752456,0.020491687641679086,0.010309278350515465,0
ferw_ETHUSDT_030080,ETHUSDT,2021,pos_funding,0.00021858515605975484,0.0006527536541174814,0.0,0
ferw_ETHUSDT_030272,ETHUSDT,2021,pos_funding,0.000553460663489139,-0.027464803496147758,0.020618556701030927,0
ferw_ETHUSDT_030369,ETHUSDT,2021,pos_funding,-0.0006407460598625357,-0.012170133256855495,-0.05154639175257732,0
ferw_ETHUSDT_030466,ETHUSDT,2021,pos_funding,0.0006606859568876779,0.0040342982194701005,-0.020618556701030924,0
ferw_ETHUSDT_030563,ETHUSDT,2021,pos_funding,-0.001343178262078944,-0.06218045409400712,-0.061855670103092786,0
ferw_ETHUSDT_030660,ETHUSDT,2021,pos_funding,0.0011700877427225486,-0.005905590236650701,0.04123711340206185,0
ferw_ETHUSDT_032608,ETHUSDT,2021,pos_funding,-0.00021195591414687083,-0.009619709942127783,0.030927835051546393,0
ferw_ETHUSDT_033856,ETHUSDT,2021,neg_funding,0.0119918567275644,0.14745635153092432,0.07216494845360821,0
ferw_ETHUSDT_043040,ETHUSDT,2021,pos_funding,-0.000393041816297947,-0.025990410249379894,-0.061855670103092786,-1
ferw_ETHUSDT_080160,ETHUSDT,2022,neg_funding,-0.001745061663930618,-0.0034330630884584906,-0.15463917525773196,0
ferw_ETHUSDT_080257,ETHUSDT,2022,neg_funding,0.0013644658706516918,0.058939084411267065,0.08247422680412371,0
