event_id,symbol,anchor_hour,start_idx,end_idx,activity_metric,activity_rank,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
law_ETHUSDT_111232,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_111360,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_111488,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_111616,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_111744,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_111872,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_112000,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_112128,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_112256,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_112384,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_112512,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_112768,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_112896,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_113024,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_113216,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_113344,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_113472,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_113600,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_113824,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_114016,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_114144,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_114272,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_114400,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_114528,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_114656,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_114784,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_114912,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_115168,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_115296,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_115424,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_115552,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_115680,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_115808,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_115936,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_116064,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_116192,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_116320,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_116448,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_116576,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_116736,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_116864,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_117120,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_117248,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_117376,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_117504,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_117632,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_117792,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_117920,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_118048,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_118176,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_118304,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_118432,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_118560,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_118688,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_118816,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_119456,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_119584,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_119808,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_120032,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_120160,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_120384,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_120512,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_120896,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_121504,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
